aoi,cache,whittle,V,policy
29,0,-47.57706927135587,-147.79478,1
29,1,-0.00037252530455589294,-248.78523175950002,0
30,0,-2.1729401014745235,-93.82,0
30,1,-0.00037252530455589294,-93.82,0
31,0,-45.75989083573222,-93.82,1
31,1,-0.00037252530455589294,-69.8,0
32,0,-27.65739618614316,-41.99999999999999,0
32,1,-0.00037252530455589294,-9.999999999999995,1
33,0,-35.302360486239195,-97.52999999999999,1
33,1,-0.00037252530455589294,-9.999999999999995,1
34,0,-58.201490957289934,-200.85155,0
34,1,-0.00037252530455589294,-43.99999999999999,0
35,0,-33.64760308340192,-135.072,0
35,1,-0.00037252530455589294,-135.072,0
36,0,218.3300030194223,-135.072,1
36,1,-0.00037252530455589294,-45.99999999999999,0
37,0,34.18552962318063,-136.072,1
37,1,-0.00037252530455589294,-396.68927728188675,0
38,0,0.1583232544362545,-172.9452,0
38,1,0.013783436268568039,-172.9452,0
39,0,14.212212894111872,-172.9452,1
39,1,-0.00037252530455589294,-118.21,0
40,0,245.80895958468318,-173.9452,1
40,1,-0.00037252530455589294,-408.1420831982366,0
41,0,3.2897709645330906,-175.8452,1
41,1,-0.00037252530455589294,-456.15765092311113,0
42,0,150.1399910710752,-178.5552,1
42,1,49.01874219998717,-9.999999999999995,1
43,0,-207.6340564750135,-252.2920345,1
43,1,-0.00037252530455589294,-349.24509665216004,0
44,0,18.421748835593462,-226.44981,0
44,1,-0.00037252530455589294,-9.999999999999995,1
45,0,-114.3350939489901,-226.44981,1
45,1,-0.00037252530455589294,-441.93186258616066,0
46,0,27.83248307928443,-98.3,0
46,1,-0.00037252530455589294,-98.3,0
47,0,395.23705479875207,-98.3,1
47,1,-0.00037252530455589294,-526.0387988257019,0
48,0,13.429909754544497,-232.05981000000003,1
48,1,-0.00037252530455589294,-546.4262026460289,0
49,0,121.15752237662673,-235.49881,1
49,1,-0.00037252530455589294,-589.9999999999997,0
50,0,2.9142654575407505,-367.07478665216007,1
50,1,-0.00037252530455589294,-545.0808039415733,0
51,0,11.17017125710845,-372.2918176521601,1
51,1,0.00037252530455589294,-60.99999999999999,0
52,0,18.985007096081972,-377.98714555216003,1
52,1,-0.00037252530455589294,-463.5227396080668,0
53,0,-98.72628368809819,-384.1129406621601,1
53,1,-0.00037252530455589294,-578.2467340672946,0
54,0,25.420009206980467,-273.30571000000003,0
54,1,-0.00037252530455589294,-273.30571000000003,0
55,0,285.57529079541564,-273.30571000000003,1
55,1,-0.00037252530455589294,-637.3091339064844,0
56,0,15.798425640910864,-274.30571000000003,1
56,1,-0.00037252530455589294,-659.9999999999997,0
57,0,61.1071883328259,-276.20571000000007,1
57,1,-0.00037252530455589294,-518.0523445141491,0
58,0,239.5967276059091,-278.91571,1
58,1,-0.00037252530455589294,-679.9999999999997,0
59,0,-190.11940675601363,-282.35471,1
59,1,-0.00037252530455589294,-548.2439555528342,0
60,0,385.8561225794256,-70.0,0
60,1,-0.00037252530455589294,-70.0,0
61,0,-100.10015701130033,-492.26478850806683,1
61,1,-0.00037252530455589294,-499.02513624869306,0
62,0,44.44115125760436,-379.9309041,0
62,1,-0.00037252530455589294,-379.9309041,0
63,0,134.5185149498284,-379.9309041,1
63,1,-0.00037252530455589294,-729.9999999999997,0
64,0,147.4846307002008,-380.9309041,1
64,1,3.1504465006291866,-739.9999999999997,0
65,0,-126.03462366387248,-382.83090410000005,1
65,1,-0.00037252530455589294,-685.3891811077334,0
66,0,64.31388615444303,-241.68100000000004,0
66,1,-0.00037252530455589294,-241.68100000000004,0
67,0,445.7224291227758,-241.68100000000004,1
67,1,-0.00037252530455589294,-769.9999999999997,0
68,0,225.86842508241534,-242.68100000000004,1
68,1,-0.00037252530455589294,-779.9999999999997,0
69,0,-89.61282463744283,-244.58100000000005,1
69,1,-0.00037252530455589294,-789.9999999999997,0
70,0,599.4554267562926,-143.9,0
70,1,-0.00037252530455589294,-143.9,0
71,0,78.23962708935142,-583.7469811148159,1
71,1,-0.00037252530455589294,-809.9999999999997,0
72,0,6.687201742082834,-587.8420811148159,1
72,1,-0.00037252530455589294,-819.9999999999997,0
73,0,24.417171087116003,-592.5276711148159,1
73,1,-0.00037252530455589294,-664.895901173301,0
74,0,6.389926549047232,-597.7447021148159,1
74,1,-0.00037252530455589294,-839.9999999999997,0
75,0,99.32604942843318,-603.4400300148159,1
75,1,-0.00037252530455589294,-849.9999999999997,0
76,0,6.4845479764044285,-609.565825124816,1
76,1,-0.00037252530455589294,-732.3445126799024,0
77,0,48.8369498513639,-616.0790407238161,1
77,1,-0.00037252530455589294,-87.0,0
78,0,221.2506014071405,-622.940934762916,1
78,1,-0.00037252530455589294,-879.9999999999997,0
79,0,229.09449421986938,-630.116639398106,1
79,1,-0.00037252530455589294,-889.9999999999997,0
80,0,6.866758938878775,-682.7255911733012,1
80,1,-0.00037252530455589294,-895.6177160800747,0
81,0,196.07981162890792,-687.942622173301,1
81,1,-0.00037252530455589294,-776.2656799503739,0
82,0,-121.21340117231011,-772.0663628074,1
82,1,-0.00037252530455589294,-919.9999999999997,0
83,0,196.36144075915217,-636.2732820597599,0
83,1,-0.00037252530455589294,-636.2732820597599,0
84,0,21.398226018995047,-636.2732820597599,1
84,1,-0.00037252530455589294,-939.9999999999997,0
85,0,27.847384091466665,-637.2732820597599,1
